LotArea,OverallQual,OverallCond,BedroomAbvGr,GarageArea,SalePrice
8450,7,5,3,548,208500
9600,6,8,3,460,181500
11250,7,5,3,608,223500
9550,7,5,3,642,140000
14260,8,5,4,836,250000
14115,5,5,1,480,143000
10084,8,5,3,636,307000
10382,7,6,3,484,200000
6120,7,5,2,468,129900
7420,5,6,2,205,118000
11200,5,5,3,384,129500
11924,9,5,4,736,345000
12968,5,6,2,352,144000
10652,7,5,3,840,279500
10920,6,5,2,352,157000
6120,7,8,2,576,132000
11241,6,7,2,480,149000
10791,4,5,2,516,90000
13695,5,5,3,576,159000
7560,5,6,3,294,139000
14215,8,5,4,853,325300
7449,7,7,3,280,139400
9742,8,5,3,534,230000
4224,5,7,3,572,129900
8246,5,8,3,270,154000
14230,8,5,3,890,256300
7200,5,7,3,576,134800
11478,8,5,3,772,306000
16321,5,6,2,319,207500
6324,4,6,1,240,68500
8500,4,4,3,250,40000
8544,5,6,3,271,149350
11049,8,5,3,484,179900
10552,5,5,4,447,165500
7313,9,5,2,556,277500
13418,8,5,4,691,309000
10859,5,5,3,672,145000
8532,5,6,3,498,153000
7922,5,7,3,246,109000
6040,4,5,2,0,82000
8658,6,5,3,440,160000
16905,5,6,2,308,170000
9180,5,7,2,504,144000
9200,5,6,3,308,130250
7945,5,6,3,300,141000
7658,9,5,2,576,319900
12822,7,5,1,670,239686
11096,8,5,3,826,249700
4456,4,5,2,0,113000
7742,5,7,3,386,127000
13869,6,6,3,388,177000
6240,6,6,3,528,114500
8472,5,5,2,516,110000
50271,9,5,0,894,385000
7134,5,5,3,572,130000
10175,6,5,3,576,180500
2645,8,5,3,480,172500
11645,7,5,3,565,196500
13682,10,5,3,641,438780
7200,5,7,2,352,124900
13072,6,5,3,576,158000
7200,5,7,3,288,101000
6442,8,5,2,484,202500
10300,7,6,3,480,140000
9375,7,5,3,645,219500
9591,8,5,4,852,317000
19900,7,5,3,576,180000
10665,7,5,3,558,226000
4608,4,6,2,220,80000
15593,7,4,3,667,225000
13651,7,6,3,516,244000
7599,4,6,2,360,129500
10141,7,5,3,427,185000
10200,5,7,3,490,144900
5790,3,6,3,379,107400
1596,4,5,2,297,91000
8475,4,7,2,283,135750
8635,5,5,2,240,127000
10778,4,5,4,0,136500
10440,5,6,2,440,110000
13000,6,6,4,509,193500
4500,6,5,2,405,153500
10206,8,5,3,758,245000
8892,5,5,3,461,126500
8530,7,5,3,400,168500
16059,8,5,4,462,260000
11911,6,5,3,400,174000
3951,6,5,2,528,164500
8470,3,2,2,0,85000
8070,4,5,3,0,123600
7200,4,5,2,420,109900
8500,5,3,2,480,98600
13360,5,7,2,432,163500
7200,6,6,4,506,133900
9337,6,5,3,684,204750
9765,6,8,3,420,185000
10264,7,5,3,472,214000
10921,4,5,3,432,94750
